Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Caldas,Industrial,Industrial,Alcantarillado,5269.12,0.00,0.00,2060.86,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,2519.05,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,1585.28,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,1,Acueducto,3805.59,1360.29,2519.05,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,1,Alcantarillado,3323.60,1299.93,1585.28,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,2,Acueducto,5990.28,2141.19,2519.05,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,2,Alcantarillado,3485.73,1363.34,1585.28,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,3,Acueducto,7047.39,2519.05,2519.05,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,3,Alcantarillado,3891.04,1506.02,1585.28,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,4,Acueducto,7047.39,2519.05,2519.05,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,4,Alcantarillado,4053.17,1585.28,1585.28,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,5,Acueducto,10571.09,3778.58,3778.58,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,5,Alcantarillado,6079.76,2377.92,2377.92,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,6,Acueducto,11275.82,4030.48,4030.48,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Caldas,Residencial,6,Alcantarillado,6485.07,2536.07,2536.07,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Comercial,Comercial,Acueducto,10571.09,0.00,0.00,5378.97,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Comercial,Comercial,Alcantarillado,6079.76,0.00,0.00,3892.71,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Industrial,Industrial,Acueducto,9161.61,0.00,0.00,5378.97,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Industrial,Industrial,Alcantarillado,5269.12,0.00,0.00,3373.68,12719.36,10902.31,19987.57,21804.62,2021,Octubre
